id,biomarker_name,unit,age_min,age_max,gender,critical_low,low_threshold,normal_min,normal_max,high_threshold,critical_high,condition,condition_stage,interpretation_notes,action_required
30,albumin,g/dL,18,120,all,2.5,3.0,3.5,4.5,5.0,5.5,CKD,Stage 3+,Protein status critical in CKD,Nutritional intervention if <3.5
31,bun,mg/dL,18,120,all,5,7,7,20,25,50,all,,Blood urea nitrogen,Kidney dysfunction if >25
32,bun,mg/dL,18,120,all,10,15,20,40,50,80,CKD,Stage 3+,Elevated in CKD,Expected elevation in advanced CKD
33,uric_acid,mg/dL,18,120,male,2.0,3.5,3.5,7.0,8.0,12.0,all,,Normal for males,Gout risk if >7.0
34,uric_acid,mg/dL,18,120,female,1.5,2.5,2.5,6.0,7.0,10.0,all,,Normal for females,Gout risk if >6.0
35,cholesterol_total,mg/dL,18,120,all,100,120,120,200,239,300,all,,Desirable <200,High risk if >=240
36,ldl,mg/dL,18,120,all,40,70,70,100,159,190,all,,LDL target <100,High risk if >=160
37,ldl,mg/dL,18,120,all,30,40,40,70,100,130,CKD,Stage 3+,Aggressive LDL control in CKD,Target <70 mg/dL
38,hdl,mg/dL,18,120,male,20,40,40,60,,,all,,HDL >60 protective,Risk if <40
39,hdl,mg/dL,18,120,female,30,50,50,70,,,all,,HDL >60 protective,Risk if <50
40,triglycerides,mg/dL,18,120,all,30,50,50,150,199,500,all,,Normal <150,High if >=200
41,alt,U/L,18,120,male,5,10,10,40,55,200,all,,Liver enzyme normal,Hepatotoxicity if >3x normal
42,alt,U/L,18,120,female,5,7,7,35,50,180,all,,Liver enzyme normal,Hepatotoxicity if >3x normal
43,ast,U/L,18,120,all,5,10,10,40,55,200,all,,Liver enzyme normal,Hepatotoxicity if >3x normal
44,tsh,mIU/L,18,120,all,0.1,0.4,0.4,4.0,10.0,20.0,all,,Normal thyroid function,Hypothyroid if >4.0
45,glucose_2hr_ogtt,mg/dL,18,120,all,70,100,100,140,199,300,all,,2-hour OGTT normal <140,Diabetes if >=200
46,vitamin_d,ng/mL,18,120,all,10,20,30,50,100,150,all,,Optimal 30-50,Deficiency if <20
47,vitamin_b12,pg/mL,18,120,all,100,200,200,900,1500,2000,all,,Normal B12 levels,Deficiency if <200
48,ferritin,ng/mL,18,120,male,20,30,30,300,500,1000,all,,Iron stores normal,Deficiency if <30
49,ferritin,ng/mL,18,120,female,10,15,15,200,300,800,all,,Iron stores normal,Deficiency if <15
50,inr,ratio,18,120,all,0.8,0.9,0.9,1.1,,,all,Warfarin,INR for patients on warfarin,Target 2.0-3.0 on warfarin
